epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5309,2.11028,4.7968,2.31563,0.18239,0.17251,0.0207,0.00507,2.39476,6.28705,2.93704,0.000326087,0.000326087,0.000326087
2,56.7102,2.0181,3.65794,2.24956,0.20285,0.10808,0.01407,0.00344,2.85488,5.23279,3.48911,0.00065126,0.00065126,0.00065126
3,72.533,2.07155,3.59362,2.32893,0.02041,0.42953,0.02242,0.00647,2.77041,12.9228,3.30138,0.000968183,0.000968183,0.000968183
4,88.2598,2.10231,3.60769,2.37134,0.34376,0.04013,0.00309,0.00058,3.35942,20.8477,4.01494,0.000962875,0.000962875,0.000962875
5,103.382,2.06081,3.58976,2.3479,0.20487,0.02648,0.00968,0.00139,3.71809,5.25031,6.4654,0.0009505,0.0009505,0.0009505
6,118.784,2.05916,3.56385,2.363,0.00271,0.22569,0.0033,0.001,2.92916,13.1764,3.37463,0.000938125,0.000938125,0.000938125
7,134.124,2.00758,3.51853,2.32826,0.0178,0.08347,0.02253,0.00668,2.32792,6.0441,2.86205,0.00092575,0.00092575,0.00092575
8,149.343,2.00239,3.38724,2.29137,0.5505,0.05372,0.03035,0.00757,2.74711,4.73015,3.16531,0.000913375,0.000913375,0.000913375
9,165.468,1.96017,3.38088,2.24532,0.40735,0.14494,0.04869,0.01329,2.40981,4.11435,2.91595,0.000901,0.000901,0.000901
10,180.627,1.92672,3.29923,2.21155,0.28603,0.13026,0.06437,0.01661,2.63108,3.47776,2.99994,0.000888625,0.000888625,0.000888625
11,195.988,1.8971,3.21201,2.19082,0.10867,0.18865,0.06455,0.01703,2.32585,3.38664,2.76914,0.00087625,0.00087625,0.00087625
12,211.188,1.88021,3.21097,2.19765,0.42423,0.16407,0.10078,0.03344,2.29716,3.30646,2.76635,0.000863875,0.000863875,0.000863875
13,226.689,1.9377,3.16508,2.18703,0.27461,0.14814,0.11192,0.03227,2.23474,3.05246,2.65505,0.0008515,0.0008515,0.0008515
14,242.354,1.88508,3.16998,2.18751,0.46879,0.12686,0.10579,0.04576,2.33086,3.23654,2.80531,0.000839125,0.000839125,0.000839125
15,258.153,1.86377,3.12876,2.18137,0.22027,0.20453,0.08577,0.02679,2.21897,3.26097,2.64219,0.00082675,0.00082675,0.00082675
16,273.432,1.83368,3.01257,2.1292,0.29678,0.14296,0.11903,0.04077,2.36772,3.05423,2.74909,0.000814375,0.000814375,0.000814375
17,288.673,1.79271,3.00206,2.12165,0.40798,0.18424,0.15796,0.04476,2.3259,3.03239,2.74775,0.000802,0.000802,0.000802
18,303.93,1.83493,2.99261,2.14003,0.12641,0.34254,0.15427,0.04439,2.22377,2.80396,2.64581,0.000789625,0.000789625,0.000789625
19,319.23,1.82892,2.97243,2.14629,0.12185,0.2593,0.14467,0.04561,2.30362,2.93463,2.6425,0.00077725,0.00077725,0.00077725
20,335.157,1.79432,2.92531,2.09221,0.21042,0.22861,0.14396,0.04892,2.31732,2.86869,2.67779,0.000764875,0.000764875,0.000764875
21,350.638,1.83139,2.85421,2.11486,0.21607,0.30981,0.20698,0.06841,2.24559,3.13478,2.73079,0.0007525,0.0007525,0.0007525
22,366.062,1.78097,2.82032,2.07751,0.27226,0.29353,0.17218,0.07199,2.26372,3.15476,2.75913,0.000740125,0.000740125,0.000740125
23,381.717,1.75101,2.82148,2.06627,0.24117,0.28734,0.19744,0.06606,2.243,2.99785,2.7066,0.00072775,0.00072775,0.00072775
24,397.188,1.77105,2.7376,2.05699,0.16845,0.31559,0.18534,0.07528,2.18951,2.83058,2.61178,0.000715375,0.000715375,0.000715375
25,412.925,1.72892,2.70857,2.0281,0.2209,0.3314,0.24931,0.09586,2.11175,2.74263,2.55655,0.000703,0.000703,0.000703
26,428.948,1.72686,2.67445,2.03491,0.24011,0.30566,0.21298,0.07888,2.24104,2.701,2.64633,0.000690625,0.000690625,0.000690625
27,444.327,1.72996,2.65322,2.03515,0.23184,0.28917,0.20313,0.06851,2.24496,2.8316,2.70289,0.00067825,0.00067825,0.00067825
28,459.916,1.69993,2.646,2.02227,0.32545,0.3223,0.26949,0.11147,2.15236,2.76577,2.62812,0.000665875,0.000665875,0.000665875
29,475.45,1.70295,2.5729,2.00441,0.37501,0.31974,0.30806,0.12564,2.12952,2.75526,2.63342,0.0006535,0.0006535,0.0006535
30,490.828,1.66382,2.57427,1.96916,0.27672,0.33805,0.25305,0.0916,2.12653,2.88828,2.55663,0.000641125,0.000641125,0.000641125
31,507.019,1.70012,2.55686,2.00406,0.42818,0.31646,0.31775,0.12126,2.11685,2.57713,2.58705,0.00062875,0.00062875,0.00062875
32,522.451,1.66811,2.48201,1.98403,0.36658,0.27881,0.29558,0.12539,2.1263,2.66628,2.60585,0.000616375,0.000616375,0.000616375
33,538.129,1.66733,2.45302,1.97913,0.42115,0.37766,0.29554,0.12103,2.14591,2.75271,2.58198,0.000604,0.000604,0.000604
34,553.469,1.6444,2.43171,1.96754,0.48434,0.33052,0.30111,0.11759,2.17299,2.59651,2.63967,0.000591625,0.000591625,0.000591625
35,568.792,1.66058,2.46666,1.97325,0.45915,0.35029,0.3189,0.1215,2.15834,2.77831,2.61965,0.00057925,0.00057925,0.00057925
36,584.703,1.64519,2.40802,1.96997,0.55808,0.29656,0.38977,0.13991,2.16881,2.45923,2.62228,0.000566875,0.000566875,0.000566875
37,600.632,1.65177,2.33457,1.98544,0.39138,0.47574,0.4108,0.17441,2.18743,2.50637,2.67155,0.0005545,0.0005545,0.0005545
38,616.214,1.62271,2.36511,1.95823,0.55261,0.31087,0.32454,0.14025,2.08897,2.55761,2.51289,0.000542125,0.000542125,0.000542125
39,631.704,1.61007,2.35222,1.95619,0.38101,0.44609,0.35163,0.15143,2.11662,2.50203,2.58403,0.00052975,0.00052975,0.00052975
40,647.245,1.59455,2.27139,1.91368,0.36366,0.38043,0.36405,0.17103,2.06295,2.41254,2.48906,0.000517375,0.000517375,0.000517375
41,663.265,1.58414,2.26382,1.9046,0.32217,0.46476,0.33652,0.16301,2.05293,2.40942,2.45472,0.000505,0.000505,0.000505
42,678.945,1.57733,2.24237,1.914,0.53077,0.38766,0.40903,0.17462,2.04563,2.35159,2.4623,0.000492625,0.000492625,0.000492625
43,694.422,1.55988,2.16725,1.88266,0.38042,0.34662,0.33718,0.14343,2.07086,2.79531,2.52806,0.00048025,0.00048025,0.00048025
44,709.661,1.57483,2.21127,1.89724,0.49116,0.35705,0.40018,0.18101,2.02102,2.40157,2.45894,0.000467875,0.000467875,0.000467875
45,725.208,1.54659,2.14688,1.8698,0.49908,0.33908,0.40546,0.16841,2.1448,2.60811,2.59042,0.0004555,0.0004555,0.0004555
46,740.503,1.56311,2.13067,1.88945,0.41026,0.44921,0.39857,0.1788,2.13699,2.49861,2.56731,0.000443125,0.000443125,0.000443125
47,756.804,1.53483,2.10564,1.85528,0.37185,0.44333,0.36651,0.16042,2.15026,2.60162,2.57037,0.00043075,0.00043075,0.00043075
48,772.163,1.54878,2.07804,1.86675,0.6096,0.35521,0.44579,0.20288,2.05983,2.31507,2.5413,0.000418375,0.000418375,0.000418375
49,787.529,1.53732,2.09594,1.87831,0.49292,0.37943,0.41777,0.18233,2.05751,2.43255,2.46463,0.000406,0.000406,0.000406
50,802.89,1.54324,2.05452,1.85965,0.4455,0.45359,0.43701,0.20372,1.98906,2.47774,2.43507,0.000393625,0.000393625,0.000393625
51,818.366,1.5203,1.99995,1.83042,0.62023,0.37425,0.44908,0.20989,1.99186,2.21983,2.41223,0.00038125,0.00038125,0.00038125
52,834.342,1.53597,1.94682,1.83694,0.56761,0.39988,0.44414,0.17893,2.10836,2.28658,2.56024,0.000368875,0.000368875,0.000368875
53,850.019,1.49652,1.91707,1.82186,0.68844,0.33987,0.45672,0.18571,2.13842,2.45959,2.54456,0.0003565,0.0003565,0.0003565
54,865.196,1.47556,1.90702,1.80441,0.43272,0.44865,0.4192,0.18876,2.12594,2.42507,2.55082,0.000344125,0.000344125,0.000344125
55,880.446,1.45396,1.89209,1.79395,0.59384,0.46325,0.52303,0.22502,2.07655,2.10421,2.49208,0.00033175,0.00033175,0.00033175
56,896.003,1.47486,1.86086,1.7826,0.54129,0.37893,0.42863,0.19553,2.056,2.34271,2.46982,0.000319375,0.000319375,0.000319375
57,911.408,1.45412,1.84342,1.777,0.52858,0.45709,0.49942,0.22687,2.01563,2.14054,2.46358,0.000307,0.000307,0.000307
58,927.594,1.45168,1.7852,1.79048,0.51452,0.48861,0.53519,0.24039,1.93633,2.12834,2.41093,0.000294625,0.000294625,0.000294625
59,942.903,1.45562,1.83712,1.77462,0.5935,0.43272,0.50271,0.24417,2.01715,2.11228,2.4849,0.00028225,0.00028225,0.00028225
60,958.243,1.43296,1.74895,1.7668,0.45143,0.51365,0.4478,0.20546,2.14071,2.32203,2.58321,0.000269875,0.000269875,0.000269875
61,973.636,1.44532,1.78875,1.77701,0.42299,0.48099,0.46849,0.22449,2.04058,2.24225,2.52999,0.0002575,0.0002575,0.0002575
62,989.005,1.40593,1.76998,1.74392,0.58034,0.40775,0.46421,0.21649,2.11837,2.2138,2.57302,0.000245125,0.000245125,0.000245125
63,1005.2,1.39748,1.70616,1.70937,0.64903,0.51391,0.53925,0.22772,2.0263,2.24911,2.45995,0.00023275,0.00023275,0.00023275
64,1020.77,1.43974,1.70367,1.74049,0.62975,0.4779,0.51541,0.21201,2.125,2.29166,2.55108,0.000220375,0.000220375,0.000220375
